"","cheese","url","milk","country","region","family","type","fat_content","calcium_content","texture","rind","color","flavor","aroma","vegetarian","vegan","synonyms","alt_spellings","producers"
"439","Chelsea Blue","https://www.cheese.com/chelsea-blue/","","Australia","Mornington Peninsula, Melbourne","Blue","artisan",NA,NA,"crumbly",NA,NA,"nutty, salty, sweet","nutty, sweet",TRUE,FALSE,NA,NA,"BoatShed Cheese"
"440","Cherni Vit","https://www.cheese.com/cherni-vit/","sheep","Bulgaria","Central Balkan Mountains",NA,"soft, brined",NA,NA,"soft","mold ripened","green","nutty, sharp",NA,NA,NA,NA,NA,NA
"441","Cherokee Rose","https://www.cheese.com/cherokee-rose/","cow","United States","Georgia","Raclette","hard, artisan",NA,NA,"creamy, smooth, soft","natural","pale yellow","buttery, nutty, sweet, tangy","fresh, milky",NA,NA,NA,NA,"Nature's Harmony Farm"
"442","Cheshire","https://www.cheese.com/cheshire/","cow","United Kingdom",NA,NA,"hard",NA,NA,"crumbly, dense","cloth wrapped","orange","earthy","grassy, spicy",NA,NA,"Appleby's Cheshire",NA,"Appleby's"
"443","Chevre en Marinade","https://www.cheese.com/chevre-en-marinade/","goat","United States","Colorado",NA,"semi-soft, artisan",NA,NA,"creamy, crumbly, firm, oily","rindless","white","garlicky, herbaceous, spicy","aromatic, pungent",TRUE,FALSE,NA,NA,"Haystack Mountain Creamery"
"444","Chevre Log","https://www.cheese.com/chevre-log/","goat","United States","California",NA,"fresh soft",NA,NA,"creamy, crumbly, smooth, spreadable","rindless","white","citrusy, creamy","fresh, mild",TRUE,FALSE,NA,NA,"Cypress Grove Chevre, Goat Lady Dairy"
"445","Chevrotin des Aravis","https://www.cheese.com/chevrotin-des-aravis/","goat","France","Haute-Savoie / Upper Savoy",NA,"soft, artisan, brined","45%",NA,"creamy, smooth","washed","pale yellow","full-flavored, herbaceous, sweet","aromatic, floral, goaty",FALSE,FALSE,NA,NA,NA
"446","Chhurpi","https://www.cheese.com/chhurpi/","cow, yak","China, Nepal, Tibet",NA,"Cottage","soft, hard, artisan",NA,NA,"dense","natural","pale yellow","tangy",NA,NA,NA,"Durkha, Chhur singba, Sherkam, Chhur mingba","Churpi",NA
"447","Childwickbury","https://www.cheese.com/childwickbury/","goat","England, Great Britain, United Kingdom","Odell, Bedfordshire",NA,"fresh soft, artisan",NA,NA,"creamy, smooth","natural","white","citrusy, lemony, mild, milky","floral, fresh, mild, milky",TRUE,FALSE,NA,NA,"Childwickbury Estate"
"448","Chile Jack","https://www.cheese.com/chile-jack/","goat","United States","Colorado","Monterey Jack","semi-soft, artisan",NA,NA,"creamy","waxed","cream","creamy, spicy, subtle, tangy","mild",TRUE,FALSE,NA,NA,"Haystack Mountain Creamery"
"449","Chilli Caciotta","https://www.cheese.com/chile-caciotta/","cow, sheep","Italy",NA,NA,"semi-soft, artisan",NA,NA,"creamy, smooth",NA,NA,"spicy",NA,NA,NA,"Caciotta Ancho Chile, Caciotta Mexican Marigold Mint, Caciotta Basil, Chile Caciotta",NA,NA
"450","Chimney Rock","https://www.cheese.com/chimney-rock/","cow","United States","California",NA,"soft",NA,NA,"soft","bloomy","pale yellow","earthy, piquant, savory","fruity, rich",TRUE,FALSE,NA,NA,"Cowgirl Creamery"
"451","Chiriboga Blue","https://www.cheese.com/chiriboga-blue/","cow","Germany","Allgau","Blue","semi-soft, artisan, blue-veined",NA,NA,"creamy, dense, smooth, spreadable","mold ripened","cream","buttery, grassy, mild, sweet","mild",FALSE,FALSE,NA,NA,NA
"452","Chocolate Lab","https://www.cheese.com/chocolate-lab/","cow","United States","Fairview",NA,"hard, artisan",NA,NA,"firm","washed","pale yellow","pungent, sharp, sweet","rich",NA,NA,NA,NA,"Looking Glass Creamery"
"453","Chocolate Stout Cheddar","https://www.cheese.com/chocolate-stout-cheddar/","cow","United States","Oregon","Cheddar","semi-hard, artisan",NA,NA,"firm","natural","pale yellow","savory, sweet, tangy","buttery",TRUE,FALSE,NA,NA,"Rogue Creamery"
"454","Chontaleno","https://www.cheese.com/chontaleno/","cow","Mexico",NA,"Parmesan","semi-hard",NA,NA,"firm","natural","white","salty",NA,FALSE,FALSE,NA,"Chontaleno Ahumado","Peluso Cheese"
"455","Chorlton Blue Cheshire","https://www.cheese.com/chorlton-blue-cheshire/","cow","England, Great Britain, United Kingdom","Cheshire","Blue","semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly","natural","pale yellow","citrusy, lemony, salty","strong",NA,NA,NA,NA,"Chorlton Cheshire Cheese"
"456","Chura Kampo","https://www.cheese.com/chura-kampo/","yak","China, Tibet","Tibet",NA,"hard, artisan",NA,NA,"dense, dry, firm","natural",NA,NA,"aromatic",NA,NA,"chura loenpa , ser",NA,NA
"457","Château de Versailles","https://www.cheese.com/chateau-de-versailles/","cow","Canada","Quebec","Brie","soft, soft-ripened",NA,NA,"buttery, creamy, runny, soft, soft-ripened","bloomy","ivory","buttery, creamy","pungent",NA,NA,NA,NA,"Tre Stelle"
"458","Chèvre","https://www.cheese.com/chevre/","goat","France",NA,NA,NA,NA,NA,"",NA,"white","tangy","goaty",NA,NA,"Goat cheese, Chevre, Chèvre",NA,NA
"459","Chèvre des neiges","https://www.cheese.com/chevre-des-neiges/","cow, goat","Canada","Quebec",NA,"fresh soft","24%",NA,"soft, spreadable, supple","rindless","white","fruity, mild, nutty","aromatic, fresh, fruity",NA,NA,NA,"Chèvre des neiges coconut, Chèvre des neiges fig & orange","La Maison Alexis de Portneuf Inc."
"460","Cilentano ai fichi","https://www.cheese.com/cilentano-ai-fichi/","buffalo, cow, sheep","Italy","Calabria",NA,"semi-soft, artisan",NA,NA,"creamy","natural","cream","creamy, fruity","nutty, sweet",NA,NA,NA,NA,"Casa Madaio"
"461","Cinerino","https://www.cheese.com/cinerino/","sheep","Italy","Campania",NA,"hard, artisan",NA,NA,"flaky","ash coated","ivory","grassy, herbaceous","herbal, nutty, woody",TRUE,FALSE,NA,NA,"Casa Madaio"
"462","Cirrus","https://www.cheese.com/cirrus/","cow","United States","Port Townsend","Camembert","soft, soft-ripened",NA,NA,"creamy, soft","bloomy","ivory","acidic, buttery, milky, nutty, salty","earthy, mushroom, rich",FALSE,FALSE,NA,NA,"Mt. Townsend Creamery"
"463","Civray","https://www.cheese.com/civray/","goat","France",NA,NA,"soft, artisan","45%",NA,"creamy, firm","natural","pale yellow","acidic, sweet","pleasant",FALSE,FALSE,NA,NA,NA
"464","Classic Blue Log","https://www.cheese.com/classic-blue-log/","goat","United States","Massachusetts",NA,"semi-soft, artisan",NA,NA,"creamy, dense, soft","mold ripened","cream","creamy, tangy","clean, fresh",TRUE,FALSE,NA,NA,"Westfield Farm"
"465","Classico Pecorino Senese","https://www.cheese.com/classico-pecorino-senese/","sheep","Italy","Tuscany","Pecorino","semi-hard, artisan",NA,NA,"buttery, compact, firm","natural","straw","sharp","aromatic, strong",FALSE,FALSE,NA,NA,"Caseificio Pinzani Srl"
"466","Classico Riserva","https://www.cheese.com/classico-riserva/","sheep","Italy","Tuscany","Pecorino","hard, artisan",NA,NA,"chalky, compact, crumbly","natural","straw","full-flavored","aromatic, strong",NA,NA,NA,NA,"Caseificio Pinzani Srl"
"467","Classics Fresh Mozzarella","https://www.cheese.com/classics-fresh-mozzarella/","cow","United States","Wisconsin","Mozzarella","soft, brined",NA,NA,"creamy, elastic, smooth, soft, stringy, supple","rindless","white","acidic, mild, milky, spicy","fresh",TRUE,FALSE,"perline, ciliegine, ovoline, marinated ciliegine",NA,"Crave Brothers Farmstead Cheese"
"468","Clava Brie","https://www.cheese.com/clava-brie/","cow","Scotland",NA,NA,"soft",NA,NA,"buttery, creamy, soft","bloomy","straw","mushroomy, pungent, rustic, vegetal","garlicky, herbal, mushroom, pungent",TRUE,FALSE,NA,NA,"Connage Highland Dairy"
"469","Clonmore","https://www.cheese.com/clonmore/","goat","Ireland","Co. Cork","Gouda","hard, artisan",NA,NA,"firm, open","plastic","pale yellow","earthy, mild, milky, nutty, smooth, sweet, tangy","goaty, strong",TRUE,FALSE,NA,NA,"Tom and Lena Beggane"
"470","Coalho","https://www.cheese.com/coalho/","cow","Brazil","Northeastern Brazil",NA,"semi-hard",NA,NA,"elastic, firm, springy","natural","yellow","acidic, salty","fresh",FALSE,FALSE,"Queijo coalho, Queijo de coalho , Rennet Cheese",NA,NA
"471","Coastal Cheddar","https://www.cheese.com/coastal-cheddar/","cow","England","Dorset","Cheddar","firm",NA,NA,"","rindless","pale yellow","crunchy, sweet","nutty",NA,NA,NA,NA,"Ford Farm"
"472","Coeur de Camembert au Calvados","https://www.cheese.com/coeur-de-camembert-au-calvados/","cow","France","Lower Normandy","Camembert","soft, artisan",NA,NA,"creamy","bloomy","ivory","fruity, nutty","aromatic, rich",FALSE,FALSE,"Calva d'Auge",NA,"Isigny Sainte Mère"
"473","Coeur de Chevre","https://www.cheese.com/coeur-de-chevre/","goat","France","Gâtinais",NA,"soft, soft-ripened",NA,NA,"creamy","leaf wrapped","pale yellow","salty, spicy","fresh, milky",FALSE,FALSE,NA,NA,NA
"474","Colby","https://www.cheese.com/colby/","cow","United States","Colby, Wisconsin","Cheddar","semi-hard",NA,NA,"firm, open, springy","rindless","yellow","sweet","mild, sweet",FALSE,FALSE,NA,"Colby Swiss Cheddar",NA
"475","Colby-Jack","https://www.cheese.com/colby-jack/","","United States",NA,"Monterey Jack","semi-soft, processed",NA,NA,"smooth","rindless",NA,"creamy, sweet, tangy",NA,NA,NA,"Marble jack, Cojack, Co-jack, Colby Jack",NA,NA
"476","Cold Pack","https://www.cheese.com/cold-pack/","cow","United States","Wisconsin",NA,"soft, blue-veined, processed",NA,NA,"creamy, smooth, spreadable","rindless",NA,"full-flavored, sharp, smokey , spicy","strong",NA,NA,"club cheese, comminuted cheese, crock cheese",NA,"Brunkow Cheese Factory"
"477","Colony cheese","https://www.cheese.com/colony-cheese/","","Brazil","Rio Grande do Sul",NA,"semi-hard, artisan",NA,NA,"creamy, open, soft, supple","natural","pale yellow","creamy, pungent, spicy","lactic, pungent, spicy",NA,NA,"queijo de colônia, Queijo colônia, queijo colonial",NA,NA
"478","ColoRouge","https://www.cheese.com/colorouge/","cow","United States","Colorado",NA,"soft, artisan, smear-ripened","12%",NA,"creamy, soft","washed","white","acidic, buttery, creamy, earthy","buttery, earthy, mild, spicy",NA,NA,"MouCo ColoRouge",NA,"MouCo Cheese Company"
"479","Colston Bassett Stilton","https://www.cheese.com/colston-bassett-stilton/","cow","England, Great Britain, United Kingdom","East Midlands","Blue","semi-hard, artisan","33%",NA,"buttery, creamy","natural","cream","buttery, fruity",NA,FALSE,FALSE,NA,NA,"Colston Bassett Dairy Limited"
"480","Comox Brie","https://www.cheese.com/comox-brie/","cow","Canada","British Columbia","Brie","soft, soft-ripened","26%",NA,"buttery, creamy, runny, soft, soft-ripened","bloomy","ivory","buttery, creamy","mushroom, pungent",NA,NA,NA,NA,"Natural Pastures Cheese Company"
"481","Comox Camembert","https://www.cheese.com/comox-camembert/","cow","Canada","Quebec","Camembert","soft, artisan, soft-ripened","28%",NA,"buttery, chalky, creamy, soft, soft-ripened, supple","bloomy","pale yellow","buttery, creamy, mushroomy","milky, mushroom, pungent",NA,NA,NA,NA,"Natural Pastures Cheese Company"
"482","Comte","https://www.cheese.com/comte/","cow","France",NA,NA,"semi-hard, artisan",NA,NA,"dense, firm","natural","pale yellow",NA,NA,NA,NA,NA,NA,NA
"483","Comte 12 months","https://www.cheese.com/comte-12-months/","cow","France",NA,NA,"semi-hard",NA,NA,"buttery","washed","yellow","milky","nutty",FALSE,FALSE,"Comté Grande Réserve 12-18 months",NA,"JuraFlore"
"484","Comte 18 months","https://www.cheese.com/comte-18-months/","cow","France",NA,NA,"hard",NA,NA,"firm","natural","yellow","fruity","nutty",FALSE,FALSE,"Comté Grande Réserve 18-24 months",NA,"JuraFlore"
"485","Comtomme","https://www.cheese.com/comtomme/","cow","Canada","Québec","Tomme","semi-soft, artisan","28%",NA,"firm, supple","washed","golden yellow","buttery, fruity","buttery, fruity",NA,NA,NA,NA,"Fromagerie La Station"
"486","Conciato Al Pepe","https://www.cheese.com/conciato-al-pepe/","cow","Italy","Veneto",NA,"hard",NA,NA,"compact, crumbly","natural","pale yellow","sharp, spicy","aromatic",FALSE,FALSE,NA,NA,"La Casearia Carpenedo S.r.l."
"487","Condio","https://www.cheese.com/condio/","cow","Italy","Piave Valley, Italy",NA,"semi-soft, artisan",NA,NA,"creamy, smooth, soft","natural","ivory","herbaceous, piquant, spicy","pungent, spicy",FALSE,FALSE,NA,NA,NA
"488","Connemara","https://www.cheese.com/connemara/","cow","United States","Fairview",NA,"semi-hard, artisan",NA,NA,"creamy, firm","natural","white","fruity, mild","fruity, goaty, rich",NA,NA,NA,NA,"Looking Glass Creamery"
"489","Consider Bardwell Farm Manchester","https://www.cheese.com/consider-bardwell-farm-manchester/","goat","United States","Vermont",NA,"semi-hard, artisan",NA,NA,"firm, open","natural","ivory","nutty, tangy, woody","lactic, mushroom, woody",TRUE,FALSE,NA,NA,"Consider Bardwell Farm"
"490","Coolattin Cheddar","https://www.cheese.com/coolattin-cheddar/","cow","Ireland","Co. Carlow","Cheddar","hard, artisan",NA,NA,"crumbly, open","waxed","pale yellow","fruity, nutty, sweet",NA,FALSE,FALSE,NA,NA,"Thomas and Fiona Burgess - Coolattin Cheddar"
"491","Coolea","https://www.cheese.com/coolea/","cow","Ireland",NA,"Gouda","hard",NA,NA,"firm",NA,NA,"sweet",NA,TRUE,FALSE,NA,NA,"Coolea Farmhouse Cheese Limited"
"492","Cooleney","https://www.cheese.com/cooleney/","cow","Ireland","Tipperary","Camembert","soft, artisan","45%",NA,"creamy, smooth","mold ripened","white","bitter, buttery, mushroomy",NA,TRUE,FALSE,NA,"Cooleeney Farmhouse Cheese","Cooleeney Farm"
"493","Coquetdale","https://www.cheese.com/coquetdale/","cow","England","Coquet",NA,"semi-hard, soft-ripened","55%",NA,"creamy","natural","pale yellow","fruity","rich",TRUE,FALSE,NA,NA,"Northumberland Cheese Company"
"494","Corleggy","https://www.cheese.com/corleggy/","goat","Ireland","County Cavan",NA,"hard, artisan","40%",NA,"","natural",NA,"mild, nutty",NA,TRUE,FALSE,NA,NA,"Corleggy Cheeses"
"495","Cornish Blue","https://www.cheese.com/cornish-blue/","cow","England","Cornwall","Blue","semi-soft, artisan",NA,NA,"buttery, dense",NA,NA,"creamy, mild, sweet","buttery, mild, sweet",TRUE,FALSE,NA,NA,"Cornish Cheese Company Ltd"
"496","Cornish Brie","https://www.cheese.com/cornish-brie/","cow","England, Great Britain, United Kingdom","Cornwall","Brie","soft, artisan, soft-ripened",NA,NA,"creamy, soft-ripened","bloomy","yellow","creamy, mild",NA,NA,NA,NA,NA,"Cornish Cheese Company Ltd, Cornish Country Larder ltd."
"497","Cornish Crumbly","https://www.cheese.com/cornish-crumbly/","cow","England","North Cornwall","Cheddar","semi-soft, artisan",NA,NA,"chalky","mold ripened","ivory","creamy","rich",TRUE,FALSE,NA,NA,"Whalesborough Farm Foods"
"498","Cornish Kern","https://www.cheese.com/cornish-kern/","","","Cornwall","Cornish",NA,NA,NA,"","washed",NA,NA,NA,TRUE,FALSE,NA,NA,"Lynher Dairies"
"499","Cornish Pepper","https://www.cheese.com/cornish-pepper/","cow","England",NA,"Cornish","soft, artisan","45%",NA,"creamy","natural","white","smooth","rich",FALSE,FALSE,NA,NA,"Lynher Valley Dairy"
"500","Cornish Smuggler","https://www.cheese.com/cornish-smuggler/","cow","England","North Cornwall","Cheddar","semi-soft, artisan",NA,NA,"creamy","mold ripened","ivory","creamy","rich",TRUE,FALSE,NA,NA,"Whalesborough Farm Foods"
"501","Cornish Wild Garlic Yarg","https://www.cheese.com/cornish-wild-garlic-yarg/","cow","England",NA,NA,"semi-firm, artisan",NA,NA,"crumbly","leaf wrapped","pale yellow","garlicky","garlicky, herbal",TRUE,FALSE,"Cornish Garlic Yarg",NA,"Lynher Dairies"
"502","Cornish Yarg","https://www.cheese.com/cornish-yarg/","cow","England",NA,"Cornish","hard, artisan",NA,NA,"creamy, crumbly","leaf wrapped",NA,"mushroomy","fresh",TRUE,FALSE,NA,NA,"Lynher Dairies"
"503","corra linn","https://www.cheese.com/corra-linn/","sheep","Scotland",NA,NA,"firm",NA,NA,"crumbly","cloth wrapped","ivory","caramel","buttery",NA,NA,NA,NA,"Errington Cheese Ltd."
"504","Cote Hill Blue","https://www.cheese.com/cote-hill-blue/","cow","England, United Kingdom","Lincolnshire","Blue","soft, artisan, blue-veined",NA,NA,"creamy","natural","cream","buttery, salty, sharp, smokey , smooth","smokey, strong",TRUE,FALSE,NA,NA,"Cote Hill Farm"
"505","Cote Hill Snowdrop","https://www.cheese.com/cote-hill-snowdrop/","cow","",NA,NA,"soft, artisan, soft-ripened",NA,NA,"creamy, smooth",NA,"white","savory",NA,NA,NA,NA,NA,"Cote Hill Farm"
"506","Cotherstone","https://www.cheese.com/cotherstone/","cow","England, United Kingdom","Cotherstone",NA,"semi-hard, artisan","45%",NA,"crumbly, open","waxed","pale yellow","acidic, citrusy, tangy","fresh",NA,NA,NA,NA,NA
"507","Cotija Cheese","https://www.cheese.com/cotija/","cow","Mexico",NA,NA,"hard, artisan",NA,NA,"crumbly, dense","rindless","white","salty, strong",NA,NA,NA,"Queso Cincho, Queso Seco",NA,NA
"508","Cotswold","https://www.cheese.com/cotswold/","cow","England, United Kingdom","Gloucestershire County",NA,"semi-firm",NA,NA,"creamy, smooth","natural",NA,"sweet, tangy",NA,FALSE,FALSE,"Double Gloucester with Chives, Double Gloucester with Onion and Chives, English Cotswold",NA,NA
"509","Cottage Cheese","https://www.cheese.com/cottage-cheese/","cow","United Kingdom, United States",NA,"Cottage","soft, artisan, processed",NA,NA,"creamy, crumbly","rindless","white","sweet",NA,TRUE,FALSE,NA,NA,NA
"510","Cottage Cheese (Australian)","https://www.cheese.com/cottage-cheese-australian/","cow","Australia",NA,"Cottage","fresh soft",NA,NA,"crumbly, firm, grainy","rindless","white","mild, sweet","lactic, milky",TRUE,FALSE,NA,NA,NA
"511","Cougar Gold","https://www.cheese.com/cougar-gold/","cow","United States","Pullman, Washington","Cheddar","semi-soft","14%",NA,"creamy, crumbly, crystalline, firm, smooth","rindless","white","nutty, sharp",NA,FALSE,FALSE,NA,NA,"WSU Creamery"
"512","Coulommiers","https://www.cheese.com/coulommiers/","cow","France",NA,"Brie","soft, artisan",NA,NA,"creamy","bloomy",NA,"buttery, nutty",NA,NA,NA,NA,NA,NA
"513","Counting Sheep…and Goats...","https://www.cheese.com/counting-sheepand-goats/","cow, goat, sheep","Canada, Italy","Lombardy",NA,"soft, soft-ripened",NA,NA,"creamy, soft",NA,"white","creamy, subtle, sweet","nutty",NA,NA,NA,NA,"Fifth Town Artisan Cheese"
"514","Country Morning","https://www.cheese.com/country-morning/","cow","Canada","British Columbia","Cheddar","hard, artisan",NA,NA,"creamy, crumbly","natural","pale yellow","nutty, sharp","strong",FALSE,FALSE,NA,NA,"The Farm House Natural Cheeses"
"515","Coupole","https://www.cheese.com/coupole/","goat","United States","Vermont",NA,"soft, artisan",NA,NA,"buttery, creamy, dense, fluffy","mold ripened","pale yellow","mild, milky","fresh, mild, milky",TRUE,FALSE,NA,NA,"Vermont Creamery"
"516","Couronne Lochoise","https://www.cheese.com/couronne-lochoise/","goat","France","Loire Valley",NA,"soft, artisan, soft-ripened",NA,NA,"buttery, creamy, smooth, soft-ripened","bloomy","ivory","acidic, herbaceous, mild, salty","earthy, goaty, grassy, musty",FALSE,FALSE,"La Couronne",NA,"Fromages de chèvre FREVAL, Various"
"517","Coverdale","https://www.cheese.com/coverdale/","cow","England, United Kingdom","North Yorkshire",NA,"hard, artisan",NA,NA,"creamy, firm, open","natural","white","buttery, lemony, mild, sharp",NA,TRUE,FALSE,NA,NA,"Wensleydale Creamery"
"518","Cow's Milk Gouda","https://www.cheese.com/cows-milk-gouda/","cow","United States","Maine","Gouda","semi-hard, artisan",NA,NA,"compact, creamy, crumbly, dense","natural",NA,"caramel, nutty",NA,NA,NA,NA,NA,"Fuzzy Udder Creamery"
